genre,tag_id
montreal indie,334
poitiers,335
estonian pop,336
sad,337
beautiful,338
melancholy,339
modern rock,340
rave,341
hyper techno,342
naika rapgen deutsch hip hop deutschrap rap,343
ebm,344
dansk,345
ska,346
belgium,347
pop punk,348
zeeteah massiah,349
noise rock,350
experimental rock,351
midwest shoegaze,352
new age,353
french rock,354
belgian indie,355
progressive death metal,356
female fronted metal,357
jewish pop,358
rhythm and blues,359
blues,360
new orleans,361
rock and roll,362
50s,363
doo wop,364
synth,365
female vocal,366
israel,367
pop dance,368
progressive electro house,369
swiss pop,370
lithuanian,371
lithuanian rock,372
minimal synth,373
leuven,374
uk alternative pop,375
bad boy records,376
rap brasileiro,377
canadiana,378
quebec,379
leo,380
dylane dav,381
minko,382
urban kiz,383
bossa nova cover,384
idm,385
montenegro,386
electro-pop francais,387
heavy rock,388
band,389
duo,390
gaetane abrial,391
stoner rock,392
stoner metal,393
calgary,394
tv,395
speech,396
pop rap,397
electro rap,398
delandrea,399
melodic house,400
spotify,401
musique nigerienne,402
slayer,403
synth pop,404
euro pop,405
alternative metal,406
nu metal,407
metalcore,408
female soul vocalists,409
ost,410
movie music,411
melodic,412
russian,413
library,414
art pop,415
obscuresqism,416
the voice s19,417
ambient guitar,418
organic ambient,419
minimal,420
disco house,421
progressive rock,422
albanian alternative,423
melbourne,424
occult,425
doujin ongaku,426
voice drama,427
italien,428
demenziale,429
abruzzo,430
glitch,431
world music,432
woman,433
emo trap italiana,434
music,435
rivita,436
dubstep,437
rapfr trap rap jeft donbeats fief,438
dub brasileiro,439
mellow,440
hawaiian,441
island rock,442
deutschrap,443
estonia,444
irish pop,445
all,446
deutschpunk,447
funkrock,448
upbeat,449
chanson,450
nouvelle scene francaise,451
nouvelle chanson francaise,452
indie catala,453
jazz catala,454
bass,455
dancehall,456
moombahton,457
chill,458
deep,459
beatlesque,460
belgian electronics,461
powerpop,462
czech,463
background piano,464
bergamo indie,465
indie rock italiano,466
milan indie,467
filthstep,468
australian hip hop,469
minimalism,470
swede,471
canadian hip hop,472
japanese,473
j-rock,474
progressive trance,475
psychedelic trance,476
french hardcore,477
pianissimo,478
suisse,479
rutracker,480
upcoming album 2023,481
darkwave,482
meditative,483
french techno,484
german punk rock,485
yandex music,486
japanese dance pop,487
j-pop,488
japanese shoegaze,489
french synthpop,490
ccm,491
psy trance,492
hungarian,493
power metal,494
freakbeat,495
yugoslavia,496
s-r-b-i-j-a,497
k-pop,498
rock alternatif francais,499
djent,500
reunion pop,501
scandinavian r&b,502
sutton,503
bands on the run,504
symphonic metal,505
yuju,506
smooth jazz,507
gfriend,508
rio grande do sul indie,509
estonian indie,510
